step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,ip_address
580,TRANSFER,25.51,C0000000028,1797.907391501176,1772.3973915011761,C0000000022,6989.764554894042,7015.274554894042,0,0,D26361,169.243.84.135
64,CASH_IN,55.3,EXTERNAL,0.0,0.0,C0000000014,2860.258856179836,2915.5588561798363,0,0,D16006,161.81.216.32
442,TRANSFER,82.93,C0000000026,4029.3509060136407,3946.420906013641,C0000000014,2789.5388561798363,2872.468856179836,0,0,D26361,126.9.57.185
653,TRANSFER,67.51,C0000000016,5797.38332542895,5729.87332542895,C0000000015,6844.2499400157085,6911.759940015709,0,0,D48427,136.216.108.102
733,PAYMENT,27.6,C0000000030,6214.644282302021,6187.04428230202,M0000000010,29.49,0.0,0,0,D35203,24.24.56.78
269,TRANSFER,54.9,C0000000002,1135.7267970040023,1080.8267970040022,C0000000001,6754.101186120954,6809.001186120953,0,0,D59615,96.82.0.165
496,TRANSFER,10.65,C0000000009,4720.486377167434,4709.836377167434,C0000000021,8413.033266495273,8423.683266495273,0,0,D47930,209.35.64.65
163,TRANSFER,4.89,C0000000014,2865.148856179836,2860.258856179836,C0000000028,1795.3973915011761,1800.2873915011762,0,0,D16006,113.231.61.126
419,TRANSFER,60.14,C0000000024,2310.1754983060337,2250.035498306034,C0000000030,6192.3042823020205,6252.444282302021,0,0,D91070,126.9.57.185
10,CASH_OUT,29.74,C0000000015,6848.9599400157085,6819.219940015709,EXTERNAL,0.0,0.0,0,0,D19116,112.80.232.1
612,PAYMENT,1384.38,C0000000024,6475.501154883178,5091.121154883178,M0000000016,0.0,0.0,1,0,D91070,156.87.125.83
423,TRANSFER,90.85,C0000000008,1870.4294936647452,1779.5794936647453,C0000000029,8596.149297127138,8686.999297127139,0,0,D20328,113.231.61.126
459,TRANSFER,2178.425498306034,C0000000024,2178.425498306034,0.0,C0000000021,11292.092122675109,13470.517620981143,1,0,D80284,37.135.71.126
268,PAYMENT,55.26,C0000000022,7169.884554894042,7114.6245548940415,M0000000018,0.0,0.0,0,0,D15695,156.87.125.83
621,PAYMENT,17.87,C0000000007,8692.176109343609,8674.306109343608,M0000000015,0.0,0.0,0,0,D85674,176.166.28.117
544,TRANSFER,6475.501154883178,C0000000018,6475.501154883178,0.0,C0000000024,0.0,6475.501154883178,1,1,D47930,191.134.219.204
434,CASH_OUT,8.36,C0000000030,6205.99428230202,6197.63428230202,EXTERNAL,0.0,0.0,0,0,D80284,96.82.0.165
594,DEBIT,59.56,C0000000027,1855.9425904213313,1796.3825904213313,M0000000001,0.0,59.56,0,0,D82357,161.81.216.32
611,CASH_OUT,67.67,C0000000026,3791.670906013641,3724.000906013641,EXTERNAL,0.0,0.0,0,0,D92397,113.231.61.126
564,CASH_OUT,6.71,C0000000008,1846.3694936647453,1839.6594936647452,EXTERNAL,0.0,0.0,0,0,D80284,99.195.239.128
123,CASH_IN,19.64,EXTERNAL,0.0,0.0,C0000000003,3475.2638653220733,3494.903865322073,0,0,D48427,24.24.56.78
500,PAYMENT,35.23,C0000000011,3067.6217732324303,3032.3917732324303,M0000000001,0.0,0.0,0,0,D57400,176.166.28.117
103,TRANSFER,233.8,C0000000030,6439.79428230202,6205.99428230202,C0000000003,3494.903865322073,3728.7038653220734,0,0,D40512,245.134.91.54
111,PAYMENT,12.56,C0000000024,2190.985498306034,2178.425498306034,M0000000004,0.0,0.0,0,0,D20328,37.135.71.126
560,TRANSFER,2.38,C0000000028,1800.2873915011762,1797.907391501176,C0000000030,6213.234282302021,6215.614282302021,0,0,D19116,112.80.232.1
306,TRANSFER,48.33,C0000000025,9548.127649861031,9499.797649861031,C0000000019,8129.61411010044,8177.9441101004395,0,0,D15695,93.112.70.252
21,CASH_OUT,47.15,C0000000014,2915.5588561798363,2868.408856179836,EXTERNAL,0.0,0.0,0,0,D20458,225.157.122.29
335,CASH_OUT,48.5,C0000000009,4768.986377167434,4720.486377167434,EXTERNAL,0.0,0.0,0,0,D82357,99.195.239.128
61,CASH_OUT,36.56,C0000000016,5904.47332542895,5867.91332542895,EXTERNAL,0.0,0.0,0,0,D35203,113.231.61.126
371,PAYMENT,9.78,C0000000001,6809.001186120953,6799.2211861209535,M0000000014,0.0,0.0,0,0,D26361,161.81.216.32
318,PAYMENT,118.55,C0000000020,1037.258837102549,918.7088371025491,M0000000011,0.0,0.0,0,0,D48427,126.9.57.185
243,CASH_IN,0.04,EXTERNAL,0.0,0.0,C0000000021,8252.373266495271,8252.413266495272,0,0,D15695,91.107.136.36
191,TRANSFER,143.34,C0000000017,2983.9655983662706,2840.6255983662704,C0000000006,7090.295386806201,7233.6353868062015,0,0,D39871,91.107.136.36
118,TRANSFER,71.66,C0000000020,916.1488371025491,844.4888371025492,C0000000005,7702.4209274761115,7774.080927476111,0,0,D96673,126.9.57.185
159,PAYMENT,6.16,C0000000012,5548.197592930262,5542.037592930262,M0000000018,0.0,0.0,0,0,D19116,223.152.101.78
625,CASH_OUT,70.56,C0000000015,6911.759940015709,6841.199940015708,EXTERNAL,0.0,0.0,0,0,D16006,245.134.91.54
119,CASH_OUT,113.37,C0000000022,7283.254554894042,7169.884554894042,EXTERNAL,0.0,0.0,0,0,D59615,55.255.202.234
442,TRANSFER,16.46,C0000000018,6491.961154883178,6475.501154883178,C0000000023,4082.844648661927,4099.304648661927,0,0,D82357,93.112.70.252
544,PAYMENT,39.21,C0000000030,6252.444282302021,6213.234282302021,M0000000004,0.0,0.0,0,0,D16006,126.9.57.185
554,CASH_IN,72.52,EXTERNAL,0.0,0.0,C0000000010,1470.254974942633,1542.774974942633,0,0,D57400,191.134.219.204
451,CASH_OUT,32.57,C0000000025,9580.697649861031,9548.127649861031,EXTERNAL,0.0,0.0,0,0,D48427,55.255.202.234
313,TRANSFER,10.13,C0000000008,1845.6394936647453,1835.5094936647452,C0000000007,8933.53610934361,8943.666109343609,0,0,D16006,93.112.70.252
666,PAYMENT,147.74,C0000000024,2338.725498306034,2190.985498306034,M0000000018,0.0,0.0,0,0,D85674,69.33.108.161
709,TRANSFER,1935.509493664745,C0000000008,1935.509493664745,0.0,C0000000019,8431.334110100439,10366.843603765185,1,1,D20458,93.112.70.252
515,CASH_IN,143.09,EXTERNAL,0.0,0.0,C0000000011,2967.74177323243,3110.8317732324304,0,0,D20458,249.5.58.136
220,CASH_IN,73.21,EXTERNAL,0.0,0.0,C0000000005,7628.240927476111,7701.450927476111,0,0,D59615,225.157.122.29
519,TRANSFER,42.39,C0000000012,5542.037592930262,5499.647592930261,C0000000019,8159.434110100439,8201.824110100439,0,0,D85674,91.107.136.36
248,TRANSFER,229.51,C0000000009,4709.836377167434,4480.326377167434,C0000000019,8201.824110100439,8431.334110100439,0,0,D82357,91.107.136.36
123,TRANSFER,78.89,C0000000010,1627.354974942633,1548.4649749426328,C0000000007,8674.306109343608,8753.196109343608,0,0,D15695,91.107.136.36
473,PAYMENT,123.88,C0000000022,7113.644554894042,6989.764554894042,M0000000001,59.56,0.0,0,0,D19116,119.194.138.112
188,CASH_OUT,31.15,C0000000007,9029.61610934361,8998.46610934361,EXTERNAL,0.0,0.0,0,0,D59615,161.81.216.32
112,TRANSFER,45.49,C0000000004,3008.896643339405,2963.406643339405,C0000000002,1090.2367970040023,1135.7267970040023,0,0,D57400,169.243.84.135
40,TRANSFER,66.06,C0000000026,3946.420906013641,3880.360906013641,C0000000008,1779.5794936647453,1845.6394936647453,0,0,D26361,24.24.56.78
84,TRANSFER,27.33,C0000000019,8284.87411010044,8257.54411010044,C0000000008,1839.6594936647452,1866.9894936647452,0,0,D70217,223.152.101.78
170,CASH_IN,20.11,EXTERNAL,0.0,0.0,C0000000011,3047.51177323243,3067.6217732324303,0,0,D35203,62.40.43.248
569,TRANSFER,2868.408856179836,C0000000014,2868.408856179836,0.0,C0000000021,8423.683266495273,11292.092122675109,1,0,D96673,96.82.0.165
553,CASH_IN,63.92,EXTERNAL,0.0,0.0,C0000000008,1782.4494936647452,1846.3694936647453,0,0,D96673,211.16.161.205
657,CASH_OUT,1.68,C0000000003,3728.7038653220734,3727.0238653220736,EXTERNAL,0.0,0.0,0,0,D92397,93.112.70.252
568,TRANSFER,21.23,C0000000020,1058.488837102549,1037.258837102549,C0000000027,1834.7125904213312,1855.9425904213313,0,0,D15695,126.9.57.185
681,DEBIT,29.49,C0000000023,4099.304648661927,4069.814648661927,M0000000010,0.0,29.49,0,0,D82357,161.81.216.32
37,CASH_IN,18.48,EXTERNAL,0.0,0.0,C0000000029,8577.669297127139,8596.149297127138,0,0,D59615,112.80.232.1
337,TRANSFER,75.05,C0000000028,1870.447391501176,1795.3973915011761,C0000000008,1835.5094936647452,1910.559493664745,0,0,D82357,24.24.56.78
216,TRANSFER,93.07,C0000000024,2399.315498306034,2306.245498306034,C0000000018,6303.391154883178,6396.461154883178,0,0,D91070,223.152.101.78
